LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
owningbusinessunitname,OwningBusinessUnitName,String,owningbusinessunit,StringType,False,False,False,True,24,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{cdecb414-03d8-4a39-b6ac-1151e976543e},SystemRequired,Standard
owningteam,OwningTeam,Lookup,,LookupType,False,False,False,True,23,,Unique identifier for the team that owns the record.,Owning Team,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{cd800e0c-7d73-497a-ab3f-04b7574ad995},None,Standard
owninguser,OwningUser,Lookup,,LookupType,False,False,False,True,22,,Unique identifier for the user that owns the record.,Owning User,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{425c0f98-88c5-4164-a6bb-ca33ef609074},None,Standard
pcc_accountname,pcc_AccountName,String,,StringType,True,True,True,True,128,,,Account Name,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{0831f9fd-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_address1city,pcc_Address1City,String,,StringType,True,True,True,True,124,,,Address 1: City,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{8f298fb3-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_address1county,pcc_Address1County,String,,StringType,True,True,True,True,125,,,Address 1: County,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{b45989bf-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_address1street1,pcc_Address1Street1,String,,StringType,True,True,True,True,121,,,Address 1: Street 1,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{f4ba46a1-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_address1street2,pcc_Address1Street2,String,,StringType,True,True,True,True,122,,,Address 1: Street 2,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{685d4da7-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_address1street3,pcc_Address1Street3,String,,StringType,True,True,True,True,123,,,Address 1: Street 3,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{3d458dad-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_address1zippostalcode,pcc_Address1ZIPPostalCode,String,,StringType,True,True,True,True,126,,,Address 1: ZIP/Postal Code,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{f42a8bc5-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_bedrooms,pcc_Bedrooms,Picklist,,PicklistType,True,True,True,True,62,,,Bedrooms,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{d518cf57-e901-ed11-82e5-000d3a3aa389},None,Standard
pcc_bedroomsname,pcc_bedroomsName,Virtual,pcc_bedrooms,VirtualType,False,False,False,True,63,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{46f32b38-7e27-4508-b58e-553610d9c520},None,Standard
pcc_boilertype,pcc_BoilerType,Picklist,,PicklistType,True,True,True,True,90,,,Boiler Type,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{fd8f9d78-ea01-ed11-82e5-000d3a3aa389},None,Standard
pcc_boilertypename,pcc_boilertypeName,Virtual,pcc_boilertype,VirtualType,False,False,False,True,91,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{913d707a-e57d-4889-97b5-c0d68c99d73c},None,Standard
